"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"1137","26001","2004","126","1030","12.233009708","126","100"
"1137","26001","2005","126","1030","12.233009708","126","100"
"1137","26001","3003","132","1030","12.81553398","132","100"
"1137","26001","3004","117","1030","11.3592233","117","100"
"1137","26001","3005","116","1030","11.262135922","116","100"
"1137","26001","4003","114","1030","11.067961165","114","100"
"1137","26001","4004","50","1030","4.854368932","50","100"
"1137","26001","4005","130","1030","12.621359223","130","100"
"1138","26003","1000","130","968","13.429752066","130","100"
"1138","26003","1001","123","968","12.70661157","123","100"
"1138","26003","1002","109","968","11.260330578","109","100"
"1138","26003","1009","51","968","5.268595041","51","100"
"1138","26003","1010","99","968","10.227272727","99","100"
"1138","26003","1011","112","968","11.570247933","112","100"
"1138","26003","2000","115","968","11.880165289","115","100"
"1138","26003","2001","103","968","10.640495867","103","100"
"1138","26003","2002","126","968","13.016528925","126","100"
"1139","26003","1003","130","973","13.360739979","130","100"
"1139","26003","1004","96","973","9.8663926","96","100"
"1139","26003","1005","61","973","6.269270298","61","100"
"1139","26003","1006","100","973","10.277492291","100","100"
"1139","26003","1007","111","973","11.408016443","111","100"
"1139","26003","1008","100","973","10.277492291","100","100"
"1139","26003","2003","90","973","9.249743062","90","100"
"1139","26003","2004","115","973","11.819116135","115","100"
"1139","26003","2005","102","973","10.483042137","102","100"
"1139","26003","2006","68","973","6.988694758","68","100"
"1141","26004","1000","75","1112","6.744604316","75","100"
"1141","26004","1001","125","1112","11.241007194","125","100"
"1141","26004","1002","135","1112","12.140287769","135","100"
"1141","26004","1003","118","1112","10.611510791","118","100"
"1141","26004","1005","97","1112","8.723021582","97","100"
"1141","26004","1006","117","1112","10.521582733","117","100"
"1141","26004","1007","36","1112","3.237410071","36","100"
"1141","26004","1008","54","1112","4.856115107","54","100"
"1141","26004","1009","55","1112","4.946043165","83","66.26506024"
"1141","26004","1010","76","1112","6.834532374","76","100"
"1141","26004","1011","73","1112","6.564748201","73","100"
"1141","26301","1006","61","1112","5.48561151","61","100"
"1141","26301","1007","50","1112","4.496402877","50","100"
"1141","26301","1008","40","1112","3.597122302","40","100"
"1142","26004","1004","121","1091","11.090742438","121","100"
"1142","26004","1012","77","1091","7.057745187","77","100"
"1142","26004","2000","105","1091","9.624197983","105","100"
"1142","26004","2001","107","1091","9.80751604","107","100"
"1142","26004","2002","98","1091","8.982584784","98","100"
"1142","26004","2003","102","1091","9.349220898","102","100"
"1142","26004","2004","72","1091","6.599450045","72","100"
"1142","26004","2005","39","1091","3.574702108","39","100"
"1142","26004","2007","96","1091","8.799266727","96","100"
"1142","26301","1002","82","1091","7.516040329","82","100"
"1142","26301","1003","72","1091","6.599450045","72","100"
"1142","26301","1004","74","1091","6.782768102","74","100"
"1142","26301","1005","46","1091","4.216315307","46","100"
"1143","26003","2007","347","1118","31.037567084","347","100"
"1143","26003","2008","87","1118","7.78175313","87","100"
"1143","26003","2009","107","1118","9.570661896","107","100"
"1143","26003","2010","108","1118","9.660107334","108","100"
"1143","26004","2008","117","1118","10.465116279","117","100"
"1143","26004","2009","103","1118","9.212880143","103","100"
"1143","26004","2010","42","1118","3.756708407","42","100"
