ResponseId,sex,region,age5,educ4,race5,hispanic,weduc,pres,inputregstate,ideo5,religpew,newsint,urbancity
moneygrubbing_hamadryas,2,2,2,3,1,2,3,1,Nebraska,Very liberal,Nothing in particular,Some of the time,Suburban
insane_nightcrawler,2,3,1,1,1,2,1,4,,Moderate,Other,Some of the time,Suburban
forbidden_stud,1,3,2,4,1,2,4,1,Mississippi,Liberal,Other,Most of the time,Suburban
collective_longhorn,2,2,4,3,1,2,3,4,Ohio,Very conservative,Protestant,Only now and then,Urban
synecologic_laughingthrush,2,1,1,3,1,2,3,3,New Jersey,Moderate,Jewish,Hardly at all,Suburban
cumbersome_natterjacktoad,2,1,2,1,1,2,1,4,,Moderate,Agnostic,Hardly at all,Suburban
nonacademic_xiphiasgladius,2,2,3,2,1,2,2,2,Michigan,Moderate,Roman Catholic,Only now and then,Suburban
acidy_asianconstablebutterfly,2,1,2,4,1,2,4,1,Connecticut,Liberal,Agnostic,Some of the time,Suburban
biophilic_italiangreyhound,2,2,3,3,1,2,3,1,Indiana,Very liberal,Protestant,Most of the time,Rural area
frightened_cero,2,3,1,1,3,1,5,2,Texas,Very conservative,Roman Catholic,Most of the time,Suburban
neophilic_kagu,1,3,1,1,3,1,5,4,District of Columbia,Moderate,Protestant,Only now and then,Suburban
unmarried_iaerismetalmark,2,3,4,1,2,2,5,4,Louisiana,Moderate,Other,Only now and then,Suburban
discreditable_python,2,3,3,4,1,2,4,2,Kentucky,Conservative,Atheist,Most of the time,Suburban
patronising_bluetonguelizard,2,3,2,1,1,2,1,4,Texas,Moderate,Nothing in particular,Hardly at all,Urban
talented_axisdeer,1,1,3,1,3,1,5,4,,Liberal,Agnostic,Only now and then,Suburban
primatologic_xoloitzcuintli,2,2,2,1,1,2,1,1,Michigan,Moderate,Agnostic,Some of the time,Suburban
front_beardeddragon,2,3,1,3,1,2,3,4,,Moderate,Nothing in particular,Only now and then,Rural area
geological_tiger,2,3,4,2,1,2,2,2,Virginia,Moderate,Protestant,Most of the time,Suburban
supersecure_lamprey,2,1,5,2,1,2,2,1,Pennsylvania,Liberal,Agnostic,Most of the time,Suburban
halfintelligible_mouflon,2,1,4,1,1,2,1,2,Pennsylvania,Very conservative,Roman Catholic,Hardly at all,Suburban
retaliative_turnstone,1,4,5,2,1,2,2,1,California,Moderate,Protestant,Most of the time,Urban
pennypinching_binturong,2,3,2,3,1,2,3,1,North Carolina,Moderate,Other,Most of the time,Urban
excisable_arcticfox,1,4,4,3,1,2,3,1,California,Moderate,Protestant,Most of the time,Rural area
dogpoor_quillback,1,1,5,3,4,2,7,1,Massachusetts,Liberal,Agnostic,Most of the time,Suburban
insurrectional_stud,2,1,2,2,1,2,2,4,,Not sure,Nothing in particular,Only now and then,Suburban
sagacious_goose,1,3,5,4,1,2,4,2,Florida,Conservative,Atheist,Hardly at all,Suburban
interfaith_hedgehog,2,1,4,4,1,2,4,2,New Jersey,Conservative,Protestant,Some of the time,Suburban
abysmal_woodcock,2,3,1,4,1,2,4,4,Tennessee,Moderate,Protestant,Most of the time,Suburban
ecologic_bushbaby,2,3,5,2,1,2,2,2,North Carolina,Very conservative,Protestant,Most of the time,Urban
chintzy_yellowhammer,1,2,5,1,1,2,1,1,Michigan,Liberal,Atheist,Most of the time,Rural area
councilmanic_springpeeper,1,2,2,1,1,2,1,2,Iowa,Very conservative,Protestant,Some of the time,Urban
nonrationalistical_worm,2,4,2,1,4,2,5,2,Oregon,Conservative,Roman Catholic,Some of the time,Rural area
paranoid_beaver,1,4,2,4,1,2,4,4,Oregon,Very liberal,Other,Some of the time,Suburban
vigilant_rattlesnake,2,1,2,2,1,2,2,2,New York,Conservative,Protestant,Some of the time,Suburban
unaccepted_polyturator,2,1,4,1,1,2,1,4,,Not sure,Protestant,Only now and then,Suburban
expeditious_americanrobin,2,3,5,3,1,2,3,4,,Moderate,Protestant,Some of the time,Suburban
protozoological_senegalpython,2,3,3,2,1,2,2,2,Texas,Very conservative,Other,Some of the time,Rural area
uber_yaffle,1,4,5,2,1,2,2,4,Arizona,Conservative,Nothing in particular,Some of the time,Suburban
mousey_stickleback,1,3,4,4,1,2,4,1,Texas,Very liberal,Other,Most of the time,Urban
agrostographical_gordonsetter,1,3,2,3,2,2,7,2,Tennessee,Conservative,Protestant,Most of the time,Urban
corelative_americangoldfinch,2,1,1,1,1,2,1,4,,Moderate,Nothing in particular,Hardly at all,Suburban
caustic_devilfish,2,3,3,3,1,2,3,4,Texas,Conservative,Protestant,Only now and then,Urban
amphisbaenian_johndory,2,3,3,3,2,2,7,1,Georgia,Moderate,Other,Most of the time,Urban
typhlophilic_dunlin,2,1,5,2,1,2,2,1,New York,Liberal,Roman Catholic,Some of the time,Suburban
uptight_moorhen,2,1,5,2,1,2,2,1,Pennsylvania,Moderate,Nothing in particular,Most of the time,Rural area
wearish_yucker,1,3,2,3,1,2,3,2,Texas,Very conservative,Other,Most of the time,Urban
stressful_jellyfish,2,3,2,3,1,2,3,4,Florida,Moderate,Other,Some of the time,Suburban
civil_tapeworm,2,2,4,2,1,2,2,2,Indiana,Very conservative,Protestant,Most of the time,Suburban
paramilitaristic_queenslandheeler,1,4,5,3,1,2,3,1,Arizona,Conservative,Roman Catholic,Most of the time,Suburban
trivial_leech,2,1,5,2,1,2,2,1,Rhode Island,Moderate,Roman Catholic,Most of the time,Suburban
binary_loon,2,3,2,3,1,2,3,1,North Carolina,Liberal,Nothing in particular,Some of the time,Rural area
overhostile_acornbarnacle,2,2,3,3,1,2,3,1,Missouri,Moderate,Agnostic,Some of the time,Rural area
unsweet_imago,1,2,5,2,1,2,2,1,Kansas,Liberal,Roman Catholic,Most of the time,Suburban
adroit_imago,1,1,5,3,1,2,3,2,Vermont,Conservative,Agnostic,Some of the time,Rural area
castoff_argusfish,1,1,5,1,1,2,1,1,New York,Moderate,Jewish,Most of the time,Suburban
monophagous_lobo,1,2,5,2,1,2,2,2,Michigan,Conservative,Protestant,Most of the time,Rural area
dodecahedral_arabianwildcat,2,2,5,1,1,2,1,2,Missouri,Moderate,Other,Only now and then,Suburban
nonscholastic_americanbittern,1,3,2,4,4,2,8,4,Florida,Conservative,Roman Catholic,Some of the time,Suburban
veryveryverymad_guineapig,1,3,3,1,1,2,1,1,Texas,Moderate,Protestant,Some of the time,Suburban
concurrent_ostrich,1,3,3,4,3,1,8,1,Texas,Moderate,Roman Catholic,Most of the time,Suburban
timbrophilic_burro,2,3,2,2,1,2,2,2,North Carolina,Very conservative,Other,Some of the time,Rural area
biomedical_halicore,1,1,2,3,3,1,7,1,New York,Liberal,Roman Catholic,Some of the time,Suburban
reprehensible_katydid,1,2,2,2,1,2,2,1,Minnesota,Very liberal,Other,Most of the time,Urban
winded_spiketail,2,4,2,4,4,2,8,4,,Moderate,Nothing in particular,Only now and then,Urban
cavalier_vole,1,3,5,3,1,2,3,1,Florida,Conservative,Protestant,Most of the time,Suburban
semipetrified_ratfish,2,2,2,1,1,2,1,1,Ohio,Liberal,Roman Catholic,Most of the time,Suburban
bleareyed_hylaeosaurus,2,1,3,4,1,2,4,2,Pennsylvania,Conservative,Protestant,Some of the time,Suburban
longish_mongrel,2,3,4,3,1,2,3,1,Florida,Moderate,Jewish,Some of the time,Suburban
illtimed_ibizanhound,1,3,5,3,1,2,3,3,South Carolina,Moderate,Protestant,Most of the time,Rural area
equilibratory_bluebird,1,2,5,4,1,2,4,2,Indiana,Very conservative,Nothing in particular,Most of the time,Suburban
hexaemeric_manta,2,3,5,1,1,2,1,2,Texas,Very conservative,Protestant,Most of the time,Rural area
dwarven_hoverfly,2,3,2,4,4,2,8,1,New York,Liberal,Agnostic,Most of the time,Urban
rearrangeable_dassierat,2,3,5,4,2,2,8,1,South Carolina,Liberal,Protestant,Most of the time,Urban
powdery_zigzagsalamander,1,2,1,1,1,2,1,4,Wisconsin,Moderate,Nothing in particular,Hardly at all,Rural area
centaurial_dwarfmongoose,1,3,5,2,2,2,6,1,Georgia,Moderate,Protestant,Some of the time,Suburban
eaved_hammerkop,1,4,5,2,1,2,2,4,Washington,Moderate,Nothing in particular,Some of the time,Rural area
prickly_irishwaterspaniel,2,3,5,3,1,2,3,2,Maryland,Conservative,Protestant,Some of the time,Rural area
prettied_paddlefish,2,3,5,4,1,2,4,1,Delaware,Liberal,Protestant,Most of the time,Suburban
transcendentalistic_tuatara,1,2,2,2,1,2,2,1,Wisconsin,Moderate,Roman Catholic,Most of the time,Urban
